Customer_Income,First_Buy_Data,Last_Buy_Data,Average_Buy_Amount,Frequency_Level,Buy_Amount_Grade,Special_Buyer,Last_Buy_Amount,Buy_Amount_Average,Class
7,8906,9407,0.06,1,G,0,100,70,0
4,8903,9405,0.12,1,F,0,20,17.33,0
3,9305,9411,0.2,3,E,0,11,8.83,1
3,8709,9410,0.42,3,D,X,3,3.36,0
1,8810,9412,0.3,2,E,X,12,6.35,0
4,9401,9412,0.12,2,F,0,20,16.66,0
2,8912,9410,0.16,2,F,0,20,6.87,0
0,9408,9408,0.14,1,F,0,15,15,0
0,9411,9411,0.08,1,G,0,25,25,0
2,9410,9410,0.06,1,F,0,15,15,0
0,8903,9602,0.3,1,E,X,0,7.45,1
1,8904,9501,0.1,1,G,0,30,26.66,0
7,8901,9502,0.12,1,F,X,15,9.62,0
2,8606,9404,0.21,1,E,X,11,7.13,0
5,9406,9410,0.09,2,G,0,30,27.5,0
0,9001,9501,0.14,2,F,X,20,13,0
2,9501,9501,0.07,1,G,0,25,25,0
5,8701,9409,0.16,1,F,X,21,16.2,0
2,8511,9411,0.13,1,F,0,19,12.33,0
2,9011,9503,0.09,1,F,0,20,10.2,0
3,9001,9412,0.12,1,F,X,20,8.83,0
2,9101,9412,0.17,1,F,0,15,9.77,0
0,9412,9412,0.08,1,F,0,15,15,0
1,8512,9505,0.22,4,F,X,5,6.7,0
0,9407,9407,0.06,1,G,0,25,25,0
5,9501,9503,0.13,2,G,0,50,30,0
0,8711,9404,0.23,1,F,X,15,12.12,0
2,9111,9408,0.22,1,F,0,15,10.4,0
5,8803,9411,0.17,1,F,X,20,13.16,0
0,9011,9412,0.17,2,F,0,15,12.11,0
0,8912,9501,0.44,4,D,X,5,4.5,0
0,9407,9407,0.05,1,G,0,25,25,0
0,8603,9503,0.21,3,D,X,7,4.35,0
7,8508,9510,0.25,2,F,X,25,11.55,0
4,8510,9411,0.19,1,F,X,15,11.42,0
1,9310,9412,0.32,4,D,X,5,3.88,0
5,9402,9501,0.14,3,G,X,25,20,0
1,8812,9412,0.12,1,F,0,16,9.14,0
1,9201,9409,0.15,1,F,X,15,7.33,0
6,8511,9407,0.14,1,G,X,25,14.72,0
5,8702,9412,0.12,1,F,X,21,16.22,0
1,9004,9412,0.12,1,G,X,25,16.85,0
1,8710,9411,0.25,4,D,X,7,5.44,0
5,9310,9501,0.12,2,F,0,20,10.66,0
2,9201,9411,0.06,1,G,0,35,28.33,0
7,8509,9503,0.21,4,G,X,25,18,0
5,9310,9409,0.08,1,F,0,20,17.5,0
6,8512,9503,0.32,3,E,X,9,6.45,0
3,9009,9406,0.21,1,F,X,15,12.36,0
2,8811,9501,0.22,2,E,X,10,6.21,0
0,9503,9503,0.1,1,G,0,30,30,0
1,8608,9412,0.28,1,E,X,12,7.04,0
2,9502,9502,0.08,1,F,0,15,15,0
3,8709,9409,0.45,1,E,X,10,6.6,0
0,9307,9407,0.11,2,F,0,15,9,0
4,9310,9503,0.26,4,E,0,10,10,0
6,9501,9503,0.13,2,G,0,20,22.5,0
0,9301,9412,0.14,3,F,0,10,12.4,0
4,8810,9409,0.44,3,D,X,2,3.5,0
3,9003,9404,0.16,1,F,0,20,14.22,0
4,8609,9503,0.23,4,F,0,15,10.75,0
2,9002,9404,0.07,1,G,0,30,21.25,0
4,9002,9410,0.26,3,E,X,4,7.55,0
5,8510,9411,0.33,4,D,X,6,6.2,0
5,8901,9503,0.13,1,F,X,20,16.62,0
1,9306,9503,0.17,3,G,0,20,20.83,0
5,9210,9406,0.09,1,F,0,20,11.66,0
5,8704,9412,0.16,1,E,0,10,12.58,0
6,8701,9503,0.17,2,F,X,15,7.54,0
2,9102,9412,0.1,2,F,0,17,13.8,0
0,9101,9508,0.12,1,F,X,0,6.85,0
6,9202,9411,0.11,1,F,0,20,8.75,0
5,8902,9412,0.1,1,G,X,25,24.16,0
7,9102,9404,0.19,1,F,X,18,15.2,0
2,8511,9501,0.31,2,E,0,5,4.13,0
2,8905,9503,0.35,3,D,X,5,5,0
6,9210,9501,0.2,3,G,0,30,23.62,0
3,8805,9410,0.08,1,G,0,25,20.4,0
4,9009,9409,0.19,3,E,X,10,8.2,0
0,9301,9407,0.1,1,F,0,15,9,0
6,9309,9406,0.14,2,F,X,10,11.5,0
2,9310,9503,0.1,1,F,0,16,13,0
0,8510,9501,0.24,4,D,X,5,5,0
6,8508,9411,0.44,1,E,X,11,9.22,0
6,8709,9412,0.24,4,E,0,10,6.25,0
1,8604,9410,0.17,1,F,X,20,9.72,0
0,9407,9412,0.11,2,F,0,15,12.5,0
0,9110,9412,0.15,3,E,0,5,8.85,0
5,8605,9409,0.25,1,G,X,25,17.61,0
4,9402,9503,0.13,2,F,0,10,10,0
1,9201,9409,0.08,1,G,0,27,14.33,0
6,9407,9407,0.06,1,G,0,25,25,0
4,9001,9503,0.14,3,E,0,6,8.83,0
7,9412,9412,0.09,1,F,0,20,20,0
3,8602,9601,0.26,1,E,X,5,5.52,0
5,9409,9409,0.06,1,F,0,15,15,0
0,8709,9602,0.24,4,E,X,5,6.6,0
4,9210,9411,0.33,4,D,X,8,6.33,0
5,9202,9503,0.12,2,F,0,20,14.4,0
6,8909,9412,0.15,2,F,0,20,14,0
4,9102,9412,0.11,1,G,0,25,10,0
4,9002,9412,0.37,4,D,X,3,2.16,0
4,9502,9502,0.07,1,G,0,25,25,0
0,8709,9501,0.3,3,D,X,5,3.05,0
5,9002,9602,0.1,1,F,0,0,13.28,0
0,9309,9404,0.08,1,F,0,20,16.5,0
0,9301,9412,0.12,1,F,0,15,12.5,0
0,9402,9502,0.2,4,E,X,10,10,0
6,8709,9408,0.32,3,F,X,12,9.68,0
2,9309,9411,0.12,1,F,0,20,16.25,0
0,9410,9410,0.06,1,F,0,20,20,0
4,9301,9404,0.17,1,F,0,20,18.4,0
1,8508,9409,0.23,1,E,X,10,11.56,0
6,9003,9412,0.09,1,F,0,20,15,0
7,9004,9409,0.14,1,F,0,20,12.16,1
0,8811,9412,0.35,3,F,X,6,8.91,0
2,8601,9501,0.3,1,E,X,11,8.36,0
1,9311,9501,0.16,3,E,0,10,10.5,0
1,8604,9411,0.32,2,E,X,10,5.91,0
0,8904,9502,0.13,1,F,0,20,12.62,0
5,8602,9409,0.13,1,F,X,17,11.12,0
5,8904,9501,0.18,2,E,X,10,9.63,0
0,9410,9411,0.1,2,F,0,5,10,0
0,9110,9501,0.2,4,D,X,8,6.22,0
0,9311,9412,0.3,4,E,0,6,5,0
5,9409,9409,0.07,1,F,0,15,15,0
0,9002,9501,0.11,1,G,0,50,49.16,0
0,8512,9503,0.24,1,E,X,10,7.89,0
5,9402,9412,0.09,1,F,0,20,20,0
2,8811,9501,0.14,1,F,X,18,12.22,0
1,9402,9503,0.13,2,F,0,11,10.33,0
0,9301,9404,0.11,1,F,0,20,15,0
5,9210,9410,0.1,1,F,0,15,9,0
4,9003,9412,0.21,4,D,X,7,5,0
4,9102,9503,0.17,3,F,X,20,18,0
1,9001,9501,0.43,2,E,X,11,7,0
0,8705,9503,0.15,1,G,X,30,24.81,0
2,9002,9511,0.2,2,E,X,23,10.2,0
1,9501,9501,0.07,1,F,0,15,15,0
7,8902,9501,0.12,1,F,X,15,13.57,0
6,8708,9412,0.17,1,F,0,15,13.42,0
7,9402,9412,0.1,1,F,0,20,12.5,0
5,8802,9412,0.31,3,D,X,9,6.35,0
0,8509,9411,0.36,4,D,X,5,2.66,0
0,9405,9405,0.05,1,F,0,20,20,0
5,8509,9411,0.28,3,E,X,12,9.14,0
3,8512,9412,0.17,1,F,X,15,8.5,0
2,9309,9408,0.08,1,F,0,15,15,0
6,9503,9503,0.11,1,F,0,15,15,0
4,8904,9406,0.12,1,F,0,20,16.42,0
4,8512,9412,0.38,4,E,X,10,7.36,0
0,9301,9410,0.25,3,F,X,20,13.33,0
5,8709,9408,0.12,1,F,X,20,14,0
0,8709,9408,0.35,3,G,X,53,31.04,0
6,8709,9501,0.32,4,D,X,5,5.85,0
4,9410,9411,0.11,2,G,0,10,17.5,0
5,8604,9412,0.13,1,F,X,18,16.22,0
0,8702,9412,0.26,4,E,X,10,9.66,0
7,9102,9503,0.17,3,E,X,10,5.75,0
1,9212,9412,0.09,1,F,0,20,12,0
5,8807,9405,0.15,1,G,X,50,23.2,0
1,9009,9412,0.34,3,F,X,14,8.42,0
5,9201,9502,0.07,1,F,0,18,14.66,0
1,9107,9408,0.08,1,G,0,35,31.25,0
3,8509,9412,0.18,2,E,X,10,8.61,0
7,9301,9411,0.23,4,D,X,5,5.25,0
3,9301,9411,0.12,2,F,X,20,12.75,0
1,9201,9409,0.16,1,F,X,20,10.85,0
0,9503,9503,0.11,1,F,0,15,15,0
0,8602,9503,0.19,3,F,X,15,11.15,0
3,9001,9409,0.16,2,G,0,25,16,0
1,8912,9412,0.12,2,F,0,10,13.33,0
0,9010,9404,0.08,1,F,0,18,13.33,0
1,9302,9406,0.09,1,F,0,20,11.66,0
0,8710,9412,0.14,1,F,0,20,14.9,0
7,9401,9412,0.13,2,F,0,20,14.33,0
2,8510,9503,0.51,4,D,X,5,4.13,0
0,9402,9412,0.1,1,F,0,3,9.66,0
2,9401,9411,0.09,1,F,0,20,15,1
4,9310,9409,0.11,1,G,0,27,12.66,0
4,8909,9501,0.25,4,F,X,15,10.93,0
0,9210,9501,0.33,3,F,X,5,10,0
5,9301,9501,0.15,2,F,X,15,11,0
5,9004,9410,0.13,2,G,0,30,18.12,0
4,8602,9506,0.28,1,F,X,15,10.92,0
4,8802,9411,0.36,4,D,X,7,6,0
0,8712,9503,0.14,2,F,0,25,12.5,0
3,9501,9501,0.07,1,G,0,25,25,0
6,9409,9409,0.06,1,F,0,20,20,0
0,8704,9412,0.31,2,E,X,5,5.65,0
5,9409,9409,0.07,1,F,0,15,15,0
3,9301,9503,0.17,2,F,X,15,8.2,0
4,8703,9501,0.27,4,D,X,5,6.75,0
3,8512,9501,0.3,1,E,X,10,6.66,0
0,8602,9501,0.25,1,F,X,20,7.93,0
5,9201,9410,0.14,2,F,0,17,8.5,0
0,9406,9406,0.07,1,F,0,20,20,0
4,9301,9412,0.09,1,F,0,20,13.33,0
2,9110,9412,0.18,4,F,0,12,10,0
2,9301,9502,0.23,2,F,X,18,10.55,0
6,9209,9412,0.12,2,G,0,25,21.25,0
1,9110,9503,0.13,2,F,0,16,8.8,0
2,8902,9412,0.44,4,D,X,5,5.16,0
4,8602,9412,0.36,1,E,X,11,6.29,1
0,9309,9412,0.1,1,G,0,25,13,0
1,8602,9502,0.16,2,F,0,10,8.81,0
5,9409,9412,0.11,2,G,0,4,14.5,0
5,8909,9412,0.15,1,F,X,15,6.77,0
3,9110,9503,0.33,4,E,X,10,8.68,1
6,8811,9503,0.18,1,G,X,25,14.3,0
0,9310,9502,0.12,2,F,0,15,10.33,0
4,8604,9411,0.21,2,E,0,10,5.86,0
1,8811,9501,0.2,2,F,0,6,10,0
4,9001,9406,0.11,1,F,X,17,14.66,0
2,9210,9412,0.14,3,E,0,10,6.99,0
0,9405,9503,0.13,3,G,X,50,33.33,0
0,8701,9411,0.23,2,E,X,10,6.31,0
4,9102,9412,0.22,4,D,0,7,5,0
6,9001,9501,0.18,3,E,0,14,11.1,0
0,8906,9406,0.18,1,G,X,25,10.18,0
4,9310,9409,0.3,4,F,0,11,10.22,0
5,9301,9405,0.2,3,F,X,20,17,0
5,9301,9405,0.18,1,F,X,15,11.5,0
4,8508,9412,0.32,2,E,X,11,9.96,0
2,9501,9501,0.07,1,F,0,20,20,0
0,9002,9409,0.14,1,F,X,19,12.62,0
3,9503,9503,0.09,1,F,0,15,15,0
5,9301,9409,0.05,1,G,0,30,27.5,0
0,9010,9412,0.09,1,F,X,20,17.4,1
5,9105,9404,0.1,1,F,0,16,12.4,0
4,9104,9503,0.2,3,E,0,7,6.1,0
0,9409,9409,0.11,1,F,0,20,20,0
3,9109,9412,0.61,4,E,X,10,9.46,0
2,9501,9501,0.07,1,F,0,15,15,0
2,8509,9404,0.28,1,E,X,10,5.7,0
7,9502,9502,0.07,1,F,0,15,15,0
0,9409,9501,0.11,2,F,0,20,17,0
0,8909,9510,0.23,3,E,X,5,7.31,0
5,9301,9411,0.19,3,E,X,5,6,0
4,9502,9502,0.07,1,F,0,20,20,0
5,8509,9501,0.23,1,E,X,13,5.76,0
0,8710,9503,0.32,4,F,X,10,8.25,0
5,9402,9503,0.13,2,F,0,20,13.33,0
4,8703,9406,0.37,3,D,X,5,5,0
4,8912,9408,0.29,1,E,X,10,8.33,0
0,9010,9411,0.37,2,G,X,26,16.88,0
0,9109,9406,0.07,1,F,0,15,10,0
7,9410,9410,0.06,1,F,0,20,20,0
0,9410,9410,0.07,1,F,0,15,15,0
6,9410,9503,0.25,3,E,0,4,6.66,0
1,9410,9410,0.06,1,F,0,20,20,0
0,9010,9404,0.08,1,F,0,20,15,0
5,9203,9410,0.12,1,G,X,25,7.6,0
2,8910,9502,0.18,3,E,X,10,7.72,0
4,9002,9410,0.11,1,F,0,20,10,0
5,8511,9512,0.21,3,D,X,12,7.37,0
0,9210,9502,0.27,4,D,X,8,5.1,0
0,9407,9407,0.06,1,G,0,25,25,0
7,9211,9412,0.15,1,F,0,15,11.33,0
6,9407,9407,0.07,1,F,0,20,20,0
0,8811,9501,0.16,2,F,X,15,11,0
5,9401,9503,0.13,2,F,0,5,10,0
0,8508,9411,0.25,1,G,X,50,14.95,0
0,9309,9408,0.16,1,G,0,35,27.5,0
5,9309,9501,0.3,4,D,X,4,4.22,0
5,8601,9502,0.17,2,E,X,10,7.33,0
0,8601,9406,0.19,1,G,X,25,17,0
4,8901,9411,0.22,3,D,X,8,5,0
3,9402,9411,0.19,3,G,0,25,13.6,0
5,9412,9412,0.12,1,F,0,20,20,0
6,9209,9503,0.18,1,F,X,15,8.14,0
4,8512,9502,0.57,1,E,X,10,7.36,1
2,8901,9407,0.16,1,F,0,20,15.92,0
7,9003,9403,0.07,1,F,0,20,14,0
5,8902,9501,0.16,4,F,0,20,12.45,0
0,9406,9503,0.08,2,F,0,10,12,0
0,8602,9602,0.18,2,E,0,10,8.41,0
7,9105,9409,0.16,1,F,X,15,7.87,0
0,9410,9502,0.15,3,E,0,12,10.66,0
7,9201,9501,0.12,2,F,0,20,10.4,0
4,9003,9411,0.36,2,E,X,11,6.53,0
0,9304,9412,0.18,3,E,0,10,9.83,0
5,8905,9501,0.18,2,G,X,25,12,0
5,9410,9410,0.06,1,F,0,20,20,0
1,8908,9501,0.18,2,E,0,10,11.36,0
5,9209,9502,0.15,3,E,0,10,7.6,0
1,8610,9409,0.21,1,E,X,10,8.2,0
5,9301,9502,0.12,1,G,X,25,19,0
4,9209,9411,0.11,2,F,0,14,12.25,0
0,8901,9409,0.21,1,E,X,12,9.23,0
0,8508,9409,0.17,1,G,X,30,17.16,0
0,9403,9503,0.33,3,E,0,5,6.66,0
0,9210,9407,0.22,3,F,X,18,13.87,0
5,8711,9405,0.16,1,G,X,35,21,0
5,8604,9404,0.09,1,F,X,18,17.25,0
0,9209,9512,0.1,1,F,0,10,12.14,0
6,9011,9503,0.19,1,G,X,25,12.36,0
0,9212,9501,0.11,2,G,0,20,14.25,0
4,9311,9411,0.12,2,F,0,15,15,0
4,8804,9503,0.13,3,E,0,10,7.5,0
5,9110,9405,0.12,1,G,0,50,35.83,0
7,9501,9501,0.07,1,F,0,20,20,0
4,8703,9411,0.13,1,F,0,20,12,0
3,9309,9503,0.19,3,E,0,9,9.2,0
3,9406,9411,0.09,2,F,0,20,15,0
2,8508,9408,0.27,4,E,X,11,7.29,0
3,8901,9502,0.16,2,E,X,13,8,0
0,9309,9405,0.14,2,F,0,15,11.25,0
4,8802,9406,0.15,1,F,0,15,7.22,0
2,9503,9506,0.1,1,F,0,10,12.5,0
2,9406,9406,0.06,1,F,0,20,20,0
5,9406,9412,0.09,2,G,0,25,22.5,0
5,9210,9412,0.25,4,E,X,5,8.4,0
2,9407,9503,0.16,3,E,0,5,7,0
6,8709,9404,0.15,1,F,X,19,13.25,0
2,8405,9502,0.23,1,F,X,26,14.05,0
0,8509,9410,0.27,3,E,X,5,7.28,0
4,9201,9405,0.28,1,E,X,13,10.25,0
4,8703,9412,0.16,3,E,X,12,8.5,0
1,8809,9411,0.17,1,E,X,12,11.9,0
1,9310,9503,0.09,1,F,0,15,10,0
3,9301,9503,0.12,2,F,0,10,9.25,0
6,9502,9502,0.07,1,G,0,50,50,0
2,9502,9502,0.06,1,F,0,20,20,0
0,9209,9503,0.17,3,E,0,10,8.66,0
4,8809,9503,0.15,2,E,X,10,10,0
2,9103,9412,0.21,4,F,0,15,8.2,0
1,9310,9412,0.09,1,F,0,15,10,0
0,9302,9501,0.23,3,E,X,5,6.37,0
5,8602,9408,0.19,1,F,X,20,15.13,0
5,9003,9510,0.1,1,G,0,44,22.5,0
3,9409,9502,0.16,3,E,0,10,8.33,0
3,8703,9404,0.15,1,F,0,15,11.09,0
1,9502,9502,0.07,1,F,0,20,20,0
5,9209,9412,0.14,2,F,0,15,11.4,0
5,9202,9408,0.12,1,F,0,20,22,0
2,9201,9404,0.11,1,F,0,20,12.6,0
7,9407,9407,0.06,1,G,0,25,25,0
6,8809,9412,0.32,2,E,X,10,5.64,0
1,9412,9412,0.08,1,F,0,20,20,0
4,8510,9412,0.18,2,E,0,9,7.09,0
4,9401,9412,0.09,1,F,0,15,12.5,0
1,8508,9412,0.2,3,E,X,10,7.5,0
5,9310,9408,0.1,1,F,0,20,20,0
0,8701,9410,0.16,1,F,X,15,14.08,0
7,9401,9410,0.12,2,F,X,15,11.66,0
5,9201,9411,0.13,1,F,0,15,7.8,0
2,9003,9412,0.13,3,F,0,10,12.28,1
7,8603,9412,0.12,1,G,X,25,12.14,0
5,9301,9501,0.2,4,E,X,10,7.75,1
0,9004,9411,0.13,1,F,0,20,15.16,0
0,9009,9412,0.25,2,F,0,14,8.4,0
5,8509,9412,0.27,4,F,X,21,11.95,1
4,9103,9411,0.11,1,F,0,15,8.8,0
0,9409,9409,0.08,1,F,0,15,15,0
1,8810,9601,0.15,3,E,0,5,5.72,1
2,9301,9601,0.21,3,F,X,25,15,0
0,9406,9406,0.05,1,G,0,25,25,0
0,8903,9412,0.11,1,F,X,15,12.16,0
1,8702,9410,0.19,2,G,X,25,18.42,0
3,8903,9407,0.14,1,F,X,20,10,0
0,9409,9409,0.06,1,F,0,20,20,0
0,8706,9502,0.15,1,G,0,30,11.73,0
2,9209,9501,0.21,3,E,0,10,8.5,0
7,8909,9411,0.1,1,F,0,15,11.2,0
6,9309,9502,0.13,2,F,0,10,12.5,0
0,9406,9502,0.2,2,F,0,20,12.5,0
5,9301,9405,0.05,1,G,0,50,37.5,0
5,9001,9408,0.09,2,F,0,10,12,0
4,8603,9412,0.57,3,E,X,9,5.55,0
6,9210,9601,0.14,2,F,0,15,17.33,0
1,9309,9412,0.08,1,F,0,20,17.5,0
7,9101,9501,0.11,3,G,0,50,29.5,0
1,9003,9503,0.61,4,D,X,5,2.58,1
7,9209,9404,0.06,1,F,0,21,13,0
0,9110,9409,0.31,4,D,X,3,3.92,0
2,8805,9501,0.15,1,F,X,20,13.55,0
5,8603,9411,0.21,2,E,X,12,5.64,0
5,9401,9405,0.08,1,G,0,30,27.5,0
6,9003,9409,0.1,1,G,0,25,20.83,0
0,9209,9501,0.15,3,E,0,9,7.66,0
0,8604,9412,0.19,1,F,X,15,9.16,0
7,9110,9412,0.2,3,E,0,10,7.75,0
6,9208,9502,0.08,1,G,0,25,19,0
1,8601,9409,0.29,1,E,X,14,8.26,0
0,9004,9412,0.18,4,E,X,14,9.87,1
6,8910,9411,0.23,2,F,X,16,12.78,0
5,9004,9410,0.12,1,G,0,26,16.16,0
5,9101,9412,0.11,1,F,0,15,11.2,0
2,9409,9409,0.06,1,F,0,20,20,0
2,9409,9502,0.17,3,E,0,10,10,0
4,8904,9503,0.11,1,F,0,15,22.85,0
0,9004,9404,0.15,1,F,X,15,11.5,0
7,8510,9412,0.22,2,F,X,19,11.65,0
4,9306,9601,0.13,2,F,0,3,10.8,0
4,8711,9412,0.21,4,D,X,5,5.16,0
3,9407,9410,0.09,2,G,0,25,17.5,0
2,9302,9503,0.3,4,E,X,7,6,0
6,8902,9408,0.19,2,F,0,23,15.23,0
0,8611,9501,0.3,3,D,X,5,4.02,0
0,8802,9502,0.09,1,G,0,25,17.5,0
5,9303,9412,0.09,2,G,0,25,16.4,0
6,9402,9403,0.09,1,F,0,15,10,0
5,8711,9412,0.26,2,F,0,20,18.75,1
3,9004,9409,0.11,2,G,0,25,13.16,0
7,8701,9502,0.08,1,G,X,100,62,0
7,8510,9503,0.23,2,E,X,11,5.6,0
7,8912,9412,0.08,1,G,0,25,25,0
6,8701,9407,0.17,1,G,X,27,16.23,0
3,9409,9409,0.08,1,F,0,15,15,0
6,9010,9406,0.15,1,F,X,15,10.25,0
0,9310,9412,0.11,2,F,X,20,12,0
1,8604,9502,0.18,2,E,X,12,10,0
7,9009,9412,0.17,3,G,0,25,15.11,0
7,9201,9405,0.09,1,F,0,15,11,0
5,9402,9409,0.11,2,F,0,20,14.66,1
0,9311,9410,0.09,1,F,0,15,10,0
7,9002,9412,0.14,1,G,0,29,20.25,0
5,9201,9503,0.17,3,E,0,6,7.66,0
5,9301,9412,0.29,2,F,X,15,9.4,0
4,8509,9501,0.16,2,F,X,15,12.33,0
0,9209,9503,0.21,3,E,0,11,7.75,0
5,9210,9412,0.15,4,E,0,10,9.83,0
4,9104,9410,0.11,2,F,0,15,9,0
0,9410,9410,0.06,1,G,0,25,25,0
5,8810,9506,0.16,3,E,0,10,8.2,0
7,9502,9502,0.07,1,F,0,15,15,0
7,9203,9501,0.09,1,G,0,25,13.33,0
4,9309,9411,0.09,1,F,0,20,12.5,0
0,9006,9501,0.15,2,F,X,15,9.28,0
5,9201,9501,0.08,1,G,0,25,15.66,0
0,9402,9406,0.09,1,F,0,20,15,0
6,8605,9406,0.13,1,F,0,20,12.7,0
6,9002,9511,0.13,3,F,X,10,9.75,0
0,9402,9412,0.2,4,E,X,5,6.2,0
0,9306,9407,0.1,1,F,0,15,10.33,0
4,9202,9404,0.15,1,F,0,20,17.85,0
3,9404,9502,0.1,2,F,0,20,15,0
0,8809,9501,0.39,4,D,X,5,3.57,0
0,9410,9410,0.06,1,G,0,25,25,0
3,9302,9407,0.25,4,E,X,3,4.75,0
6,9101,9503,0.23,4,E,0,8,7.61,0
4,9301,9502,0.13,1,F,X,24,13.6,0
5,9301,9412,0.14,2,G,0,20,20,0
5,8508,9501,0.28,1,E,X,12,7.28,0
1,9201,9412,0.21,1,F,X,15,9.4,0
6,8901,9412,0.11,1,F,0,22,14,0
0,9410,9410,0.06,1,F,0,15,15,0
1,8511,9404,0.22,1,E,X,14,10,0
1,9306,9503,0.32,4,D,X,3,2.77,0
4,8602,9501,0.17,1,G,X,25,12.09,0
7,9501,9503,0.13,2,F,0,10,15,0
0,9502,9502,0.06,1,G,0,25,25,0
0,9109,9410,0.1,1,F,0,15,8.75,0
7,9301,9502,0.11,3,E,0,10,7.5,0
3,9303,9405,0.07,1,F,0,15,10,0
0,9301,9502,0.21,3,F,X,20,15.62,0
3,9102,9501,0.2,1,F,0,15,10.3,0
6,9101,9409,0.14,2,F,0,18,11.28,0
5,8902,9602,0.19,2,E,X,17,10.56,0
5,9103,9408,0.11,2,F,0,20,12,0
5,9301,9602,0.24,2,F,X,10,11.58,0
1,8901,9406,0.17,1,E,X,10,13.8,0
2,9012,9411,0.11,1,F,X,15,14.66,0
0,9406,9406,0.07,1,G,0,25,25,0
3,9210,9411,0.15,2,F,X,16,11.83,0
2,9004,9412,0.11,1,F,0,15,8.6,0
3,9502,9502,0.07,1,F,0,20,20,0
5,9301,9501,0.13,1,F,0,20,9.6,0
3,9210,9503,0.12,1,F,0,20,9.5,0
5,8701,9409,0.12,1,F,0,15,7.28,0
4,9501,9501,0.07,1,G,0,30,30,0
6,9309,9405,0.08,1,F,0,15,12.5,0
0,8702,9410,0.14,1,F,X,19,8.1,0
4,8610,9404,0.38,1,E,X,10,5.41,0
5,8603,9503,0.25,3,E,X,8,6.23,0
4,9301,9502,0.22,4,E,X,11,8,0
0,9402,9502,0.21,4,F,0,15,11.16,0
2,8904,9502,0.19,4,D,0,7,4.72,0
2,8508,9408,0.15,1,G,0,25,15.81,0
2,9202,9404,0.1,1,F,0,20,11,0
3,8602,9412,0.26,1,E,X,12,7.12,0
3,9002,9412,0.2,3,D,X,8,7.18,1
5,9401,9408,0.07,1,F,0,15,20,0
0,9211,9412,0.1,1,F,0,23,17.5,0
2,8801,9412,0.12,2,G,0,25,17.42,0
7,8509,9411,0.27,1,E,X,10,12.75,0
4,9502,9502,0.07,1,G,0,25,25,0
3,8511,9501,0.3,4,D,X,5,2.53,0
5,8911,9503,0.19,1,G,X,30,17.88,0
2,9011,9501,0.24,2,E,X,11,6.69,0
4,9001,9411,0.45,4,D,X,7,5.5,0
2,9210,9502,0.21,3,E,X,10,7.11,0
3,8604,9503,0.18,3,E,0,8,6.9,0
0,8701,9405,0.18,1,G,X,35,12.85,0
2,9401,9411,0.09,1,F,0,16,13,0
3,9407,9503,0.18,3,E,0,12,10.66,0
5,9312,9412,0.11,2,G,0,25,13.33,0
0,9201,9512,0.21,4,F,X,10,8.87,0
6,9209,9409,0.11,2,F,0,20,16.42,0
0,8508,9412,0.33,3,E,X,10,7.33,0
5,9110,9503,0.32,4,E,X,4,7.12,0
5,8512,9408,0.13,1,G,0,50,25.55,0
2,9410,9410,0.06,1,G,0,50,50,0
3,9312,9405,0.08,1,G,0,30,27.5,0
2,9301,9412,0.24,4,E,X,9,7,0
0,9308,9409,0.1,2,F,X,20,11.66,0
4,9310,9502,0.13,1,F,0,17,15.5,0
2,9406,9503,0.15,3,E,0,10,10,0
2,8512,9501,0.24,3,F,X,20,13.81,0
0,9302,9412,0.12,1,F,0,20,10.25,0
2,8512,9502,0.4,3,D,X,5,4.06,0
7,9409,9409,0.05,1,G,0,30,30,0
5,9209,9503,0.1,1,F,0,20,16.66,0
0,9309,9412,0.17,3,E,0,5,7.6,0
5,8609,9404,0.23,1,G,X,26,16.83,0
1,8511,9412,0.31,3,E,X,12,8.04,1
2,8702,9512,0.16,1,G,X,13,12.61,0
5,8603,9408,0.14,2,F,0,12,9.66,0
5,8612,9412,0.3,3,E,X,10,8.39,0
0,9304,9502,0.12,2,F,0,15,11.75,0
6,8604,9412,0.23,2,E,X,10,8.53,0
5,9101,9502,0.13,2,F,X,17,11.42,0
2,8712,9501,0.33,3,D,X,5,5.85,0
2,8512,9502,0.21,3,F,X,15,9.41,0
4,8901,9412,0.22,2,E,0,10,6.61,0
1,9501,9501,0.07,1,F,0,20,20,0
2,9010,9408,0.36,3,E,X,11,12.09,1
0,9009,9412,0.09,1,G,0,25,22,0
1,9310,9502,0.11,2,F,0,7,10.66,0
0,9003,9411,0.09,1,F,0,17,12,0
5,9201,9512,0.17,2,F,0,15,11.63,0
4,9402,9509,0.12,1,F,0,25,16.66,0
1,8901,9412,0.12,2,F,X,22,13.42,0
4,9401,9411,0.12,1,F,0,20,10.33,0
6,9109,9502,0.24,2,F,X,16,11.16,0
6,8612,9412,0.22,1,E,X,12,7.33,0
2,9302,9501,0.1,1,F,0,20,10.66,0
0,9110,9512,0.15,2,F,X,100,29.18,0
7,8910,9503,0.15,3,F,X,20,13.11,0
0,8904,9411,0.22,3,F,0,13,18.92,0
2,8910,9412,0.15,2,F,0,15,10.14,0
5,8601,9412,0.22,2,E,X,10,7.06,0
4,8811,9503,0.13,3,F,X,10,13.93,0
7,9503,9503,0.09,1,F,0,15,15,0
3,8508,9412,0.29,1,E,X,10,4.78,0
